brand,name,weight,mrp,category,folder,image_file
Aashirvaad,AASHIRVAAD IODIZED SALT,1Kg,84,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad Attawith,5Kg,263,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad Shudh Chakk,1Kg,22,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Aashirvaad,Aashirvaad Shudh Chakk 5Kg Pack AASHIRVAAD MRP?263 Casesize6 SDIOO / 243 486,1Kg,22,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Aashirvaad,Aashirvaad Shudh Chakki Atta,5Kg,263,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad Superior MPAtta,1Kg,74,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Aashirvaad,Aashirvaad lodised Salt,1Kg,84,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,"Aashirvaad lodised Salt, 1Kg",1Kg,84,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad lodized Crystal Salt,1Kg,74,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Bingo!,Bingo! No Rulz Mix Puffs,17.3g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg
Bingo!,Bingo!Mad Angles Achaari,17.3g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg
Bingo!,Bingo!Mad Angles Pizza Aaaah,24g,10,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg
Bingo!,Bingo!No Rulz Curlz,21.6g,10,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg
Bingo!,"Bingo!No Rulz Curlz,Cheese",20g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg
Bingo!,"Bingo!No Rulz Curlz,Masala",17.3g,10.0,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg
Bingo!,"Bingo!Potato Chips,Cream&",25g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg
Bingo!,Bingo!Tedhe Medhe Mas,17.3g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg
Bingo!,Bingo!Tedhe Medhe Masala,20g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg
Bingo!,"Bingo!Tedhe Medhe,Chatpata",25g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg
Bingo!,"Bingo!Tedhe Medhe,Xtraa",75g,20,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg
Cadbury Celebrations,Cadbury Celebrations,500g,150,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg
Cadbury Celebrations,"Cadbury Celebrations,49.2g",15.3 g,50,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg
Cadbury Chocobakes,Cadbury / CHOCOBAKES,17g,10,CAKES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Chocobakes,Cadbury Chocobakes,40g,45,CAKES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Chocobakes,Cadbury Chocobakes Chocolayered Cake,40g,45,CAKES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk,20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk,36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk,41.75g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Crispello,49.2g,50,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk,36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk,52g,49.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk,9.6g,5,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk Chocolate,9.6g,5,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Dairy Milk,"Cadbury Dairy Milk,12.1g Pack",12.1g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg
Cadbury Dairy Milk,"Cadbury Dairy Milk,Fruit&Nut",36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg
Cadbury Dairy Milk,"Cadbury Dairy Milk,Roast",20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Dairy Milk,12.1g,10.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg
Cadbury Dairy Milk,Dairy Milk,36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg
Cadbury Fuse,Cadbury Fuse,23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Fuse,"Cadbury Fuse,23g Pack",23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Gems,Cadbury Gems,14.6g,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Gems,Cadbury Gems Surprise,14.6g,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Gems,"Cadbury Gems Surprise, 14.6g",14.6g,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Gems,"Cadbury Gems,7.34g Pack",144 G,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Oreo,Cadbury Oreo Choco Creme,20.2g,10,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Oreo,Cadbury Oreo Choco Creme,41.75g,5.0,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Oreo,Cadbury5Star Oreo Chocolate,75 g,150,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Oreo,Cadbury5Star Oreo Chocolate Bar,500g,150,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Perk,Cadbury Perk Double,20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Perk,Cadbury Perk Double,41.75g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Perk,"Cadbury Perk Double, 20g Pack",20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Perk,"Cadbury Perk Double,20g Pack",75g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Shots,Cadbury Shots,23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Shots,"Cadbury Shots, 9.6g Pack",23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Candyman,Candyman Creme Lacto,34g,50,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg
Candyman,Candyman Fruitee Fun Candies,660g,200,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg
Candyman,Candyman Fruitee Fun3 Candies,34g,50,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg
Candyman,Candyman Fruitee Fun3in1 Candies,660g,200,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg
Candyman,Candyman Toffichoo Soft Toffee,768g,164.0,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg
Candyman,Candyman Toffichoo Toffee,400g,200.0,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (1).jpeg
Jelimals,Jelimals Tasty Sparkles,10g,5,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM (1).jpeg
Lavian Cakkies,Lavian Cakkies Chocolate Cake,26g,5.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg
Lavian Cakkies,Lavian Cakkies Chocolate Cake,36 L,5,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg
Lavian Cakkies,Lavian Cakkies Mixed Fr,11g,50.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg
Lavian Cakkies,Lavian Cakkies Mixed Fr Cake,11g,50.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg
Lavian Chokito,Lavian Chokito Caramell Filled,700g,350.0,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg
Lavian Chokito,Lavian Chokito Caramell Filled,720g,240.0,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg
Lavian Chokito,Lavian Chokito Caramell Filled Truffles,700g,350.0,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg
Lavian Chokito,Lavian Chokito Caramell Filled Truffles,720g,240.0,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg
Lavian Chokito,Lavian Chokito Chocolate,37 L,240,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg
Lavian Chokito,Lavian Chokito Chocolate,504g,240.0,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg
Lavian Chokito,Lavian Chokito Chocolate Carmael,504g,240.0,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg
Lavian Chokito,Lavian Chokito Krunchy Choco,30g,10,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg
Lavian Chokito,Lavian Chokito Krunchy Choco Coated Wafers,30g,10,CHOCOLATE_CONF,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg
Lavian Cuppies,Lavian Cuppies Choco Cupcake,37 L,9.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg
Lavian Cuppies,Lavian Cuppies Cream Cupcake,160g,240.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg
Lavian Cuppies,Lavian Cuppies Cream Cupcake,16g,10.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg
Lavian Cuppies,Lavian Cuppies Cream Cupcake,36 L,10,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg
Lavian Cuppies,Lavian Cuppies Cream Cupcake,37 L,5,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg
Lavian Dessert Cake,Lavian Dessert Cake,700g,350.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg
Lavian Dessert Cake,"Lavian Dessert Cake,Belgian",700g,350.0,CAKES,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg
Lavian Eclairs,Lavian Eclairs,26g,10,CONFECTIONERY,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg
Lavian Eclairs,Lavian Eclairs,36 L,50.0,CONFECTIONERY,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg
Lavian Eclairs,"Lavian Eclairs,160g Pack",26g,10,CONFECTIONERY,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg
Lavian Eclairs,"Lavian Eclairs,160g Pack",36 L,50.0,CONFECTIONERY,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg
Lavian Snipi,Lavian Snipi Wafer,10g,350.0,WAFERS,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg
Lavian Snipi,Lavian Snipi Wafer,37 L,9.0,WAFERS,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg
Lavian Snipi,"Lavian Snipi Wafer, Orange, 32g",30g,10,WAFERS,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg
Lavian Snipi,"Lavian Snipi Wafer,Strawhorry",625g,240.0,WAFERS,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg
Lavian Waferro,Lavian Waferro Rolls Chocofillz,287.5g,50.0,WAFERS,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg
Lavian Waferro,Lavian Waferro Rolls Chocofillz Wafer Sticks,36 L,50.0,WAFERS,Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg
Maggi,Maggi - alia / R27.31 9.8% GOLDFREEDELIVERY Maggi Rich Tomato Ketchup; 200g Bottle Casesize24,65g,30,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg
Maggi,Maggi Casesize96 PAZZTA Nutri / 32.14 8.9% GOLDFREEDELIVERY POUCH 70g Maggi Masala Cuppa No 70g Cup MRP$52 Maggi / MASALA 47.32 CUPPA q9%marain,70g,20.0,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg
Maggi,Maggi Hot&Sweet Tomato,200g,70,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg
Maggi,Maggi Hot&Sweet Tomato Chilli Sauce,200g,70,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg
Maggi,Maggi Masala Cuppa No,70g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg
Maggi,Maggi Masala Cuppa Noodles,70g,52,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg
Maggi,Maggi Masala-a-Magic,72g,1.0,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg
Maggi,Maggi Masala-a-Magic Aromatic Roasted Spices,15g,10,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.43 PM.jpeg
Maggi,Maggi Masala-a-Magic Aromatic Roasted Spices,72g,1.0,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg
Maggi,Maggi Nutri-licious Veg Atta,65g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg
Maggi,Maggi Nutri-licious Veg Atta Noodles,65g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg
Maggi,Maggi Pazzta,64g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg
Maggi,Maggi Pazzta,65g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg
Maggi,"Maggi Pazzta,Cheese",70g,20.0,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg
Maggi,"Maggi Pazzta,Cheesy Tomato",64g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg
Maggi,"Maggi Pazzta,Masala Pe",64g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg
Maggi,"Maggi Pazzta,Masala Penne",65g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg
Maggi,"Maggi Pazzta,Mushroom",1g,,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg
Maggi,"Maggi Pazzta,Mushroom",64g,35,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg
Maggi,Maggi Pichkoo Rich Tomato,80g,1.0,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg
Maggi,Maggi Pichkoo Rich Tomato Ketchup,72g,1.0,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg
Maggi,Maggi Rich Tomato Ketchup,200g,70,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg
Maggi,Maggi2-Minute Noodles,75g,15,NOODLES,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (2).jpeg
Nescafe,NESCAFE Sunrise / 1.81 10.3% ARICHA 1.84 8.7% MADE WITHSLOWROASTEDCOFFEE BEANS PACK PACK PACK PACK 1.3g 3.8 g 7.6 g 45g SOLD OUT ●oooo Nestle Munch,1.3g,2,BEVERAGES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg
Nescafe,NESCAFE. 219.96 6.8% GOLDFREEDELIVERY PACK JAR JAR 1g 24g 45g VIEWDET Maggi Pazzta,45g,52.0,BEVERAGES,Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg
Nescafe,Nescafe Classic Coffee,70g,52,BEVERAGES,Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg
Nescafe,"Nescafe Classic Coffee,45g Jar",45g,52.0,BEVERAGES,Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg
Nescafe,Nescafe Sunrise Coffee,1.3g,2,BEVERAGES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg
Nescafe,"Nescafe Sunrise Coffee,1.3g",1.3g,2,BEVERAGES,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg
Nestle Milkmaid,Milkmaid Nostle Nestle Milkybar Chocolate,380g,128,DAIRY,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg
Nestle Milkmaid,Nestle Milkmaid,200g,128,DAIRY,Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg
Nestle Milkybar,Milkybar a Fag Re 17.44 14.7% 17.96 11.4% G Maggi Pazzta,24.5g,20,CHOCOLATE_CONF,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg
Nestle Milkybar,Nestle Milkybar Chocolate,380g,128,CHOCOLATE_CONF,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg
Nestle Milkybar,"Nestle Milkybar,24.5g P",80g,20,CHOCOLATE_CONF,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg
Nestle Milkybar,"Nestle Milkybar,24.5g Pack",24.5g,20,CHOCOLATE_CONF,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg
Nestle Munch,"Nestle Munch,19.6g Pack",1.3g,10,CHOCOLATE_CONF,Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg
Polo,POLO THE MINT WITH THE HOLE MRP R140.0 Nestle Kit Kat Share&Snap,378g,140,CONFECTIONERY,Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM.jpeg
Polo,POLO THE MINT WITH THE WOLF,13.2g,10,CONFECTIONERY,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg
Polo,Polo The Mint With The Hole,378g,140,CONFECTIONERY,Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM.jpeg
Polo,Polo The Mint With The Hole,380g,128,CONFECTIONERY,Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg
Sunfeast,Sunfeast Caker Swiss Roll,21.6g,10,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg
Sunfeast,Sunfeast Caker Swiss Roll,75g,20,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg
Sunfeast,Sunfeast Caker Trinity Cake,17.3g,5,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg
Sunfeast,Sunfeast Dark Fantasy Choco,180g,177,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg
Sunfeast,Sunfeast Dark Fantasy Choco Fantasy Rolls,180g,177,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg
Sunfeast,Sunfeast Fantastik Chocg,350g,100,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM (1).jpeg
Sunfeast,Sunfeast Fantastik Choco,750g,150,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg
Sunfeast,Sunfeast Fantastik Choco Almond Chocolate,750g,150,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg
Sunfeast,Sunfeast Fantastik Choco Stick,400g,200.0,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (1).jpeg
Sunfeast,Sunfeast Fantastik Fruit'N'Nut,180g,177,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg
Sunfeast,Sunfeast Fantastik Fruit'N'Nut Chocolate,180g,177,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg
Sunfeast,Sunfeast Fantastik Roast,768g,164.0,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg
Sunfeast,Sunfeast Hi Fi Cookies,25.8g,5,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (1).jpeg
Sunfeast,Sunfeast Hi Fi Cookies,25g,5,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg
Sunfeast,"Sunfeast Hi Fi Cookies, Cashew",25.8g,5,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (1).jpeg
Sunfeast,Sunfeast Mom's Magic Biscuits,25.8g,5,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.04 AM (1).jpeg
Sunfeast,Sunfeast Mom's Magic Biscuits,28g,5,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg
Sunfeast,Sunfeast Mom's Magic Cookies,28g,5,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM (1).jpeg
Sunfeast,Sunfeast Yippee!Magic Masala,420g,15.0,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg
Sunfeast,Sunfeast Yippee!Magic Masala Noodles,420g,15.0,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg
Sunfeast,Sunfeast Yippee!Mood,50g,10,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg
Sunfeast,Sunfeast Yippee!Mood Masala,50g,10,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg
Sunfeast,Sunfeast Yippee!Wow Masala,50g,10,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg
Sunfeast,Sunfeast Yippee!Wow Masala Noodles,50g,10,BISCUITS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg
